,index,user_id,상품명,item_option,user_rank,star,write_date,발색력,지속력,발림성,수분감,올리브영 후기 유무,광고 유무,user_type1,user_type3,user_type4,탑리뷰어,user_type2,user_type5,item_no,user_no,rating,브랜드,가격,평균별점,발색력점수,지속력점수,발림성점수,수분감점수
86,86,솔직후기,[NEW] 무지개맨션 오브제 리퀴드,,TOP 375,5.0,2022-09-10,3.0,3.0,3.0,2.0,,1,지성,모공,트러블,0,가을웜톤,,12,1139,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
87,87,영아일해라,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-09-09,2.0,2.0,2.0,1.0,,1,,,,0,,,12,1276,7.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
88,88,hoii,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-09-09,3.0,2.0,3.0,2.0,,0,,,,0,,,12,255,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
89,89,푸룬하늘은하수,[NEW] 무지개맨션 오브제 리퀴드,,,4.0,2022-09-08,3.0,1.0,3.0,1.0,,1,,,,0,,,12,1715,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
90,90,코덕인생,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 베어 피그,,5.0,2022-07-01,3.0,2.0,3.0,3.0,,0,,,,0,,,10,1641,11.0,롬앤,8400,4.7,1.37,2.1799999999999997,2.66,2.69
91,91,Zen,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 베리 베리 핑크,,4.0,2021-07-31,3.0,1.0,3.0,3.0,,0,,,,0,,,10,122,10.0,롬앤,8400,4.7,1.37,2.1799999999999997,2.66,2.69
92,92,몽캔디,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]베어 그레이프,TOP 695,5.0,2021-04-07,3.0,2.0,3.0,3.0,,0,복합성,미백,블랙헤드,0,쿨톤,,10,912,11.0,롬앤,8400,4.7,1.37,2.1799999999999997,2.66,2.69
93,93,honeydewbbt,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]누카다미아,,5.0,2022-10-06,3.0,2.0,3.0,2.0,,0,,,,0,,,10,257,10.0,롬앤,8400,4.7,1.37,2.1799999999999997,2.66,2.69
94,94,forrest,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 베어 피그,TOP 296,4.0,2022-10-01,3.0,2.0,3.0,3.0,,0,,,,1,,,10,221,11.0,롬앤,8400,4.7,1.37,2.1799999999999997,2.66,2.69
95,95,울라울라라올영,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 파파야 잼,,5.0,2022-09-12,3.0,2.0,3.0,3.0,,0,,,,0,,,10,1407,11.0,롬앤,8400,4.7,1.37,2.1799999999999997,2.66,2.69
96,96,Zen,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 피그피그,TOP 135,5.0,2021-10-17,3.0,3.0,3.0,3.0,,0,,,,1,,,10,122,12.0,롬앤,8400,4.7,1.37,2.1799999999999997,2.66,2.69
97,97,요다,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]필링 앵두,TOP 395,5.0,2021-04-08,3.0,2.0,3.0,3.0,,0,,,,1,,,10,1392,11.0,롬앤,8400,4.7,1.37,2.1799999999999997,2.66,2.69
98,98,마스크팩성애자,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]베어 그레이프,TOP 1033,5.0,2021-04-08,3.0,2.0,3.0,3.0,,0,복합성,다크서클,모공,0,겨울쿨톤,,10,865,11.0,롬앤,8400,4.7,1.37,2.1799999999999997,2.66,2.69
99,99,푸룬하늘은하수,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]필링 앵두,,5.0,2021-04-01,3.0,3.0,3.0,3.0,,0,,,,0,,,10,1715,12.0,롬앤,8400,4.7,1.37,2.1799999999999997,2.66,2.69
